ip_address,is_reachable,is_vulnerable,is_infected
1.2.96.109,N,N,N
1.2.99.177,Y,N,N
1.2.100.111,Y,N,N
1.2.103.136,Y,Y,N
1.2.106.98,Y,N,N
1.2.107.177,Y,Y,N
1.2.108.68,Y,N,N
1.2.113.242,Y,Y,N
1.2.117.232,N,N,N
1.2.122.230,Y,N,N
1.2.130.160,Y,N,N
1.2.130.189,Y,N,N
1.2.133.240,Y,Y,N
1.2.141.187,Y,N,N
1.2.144.117,Y,Y,N
1.2.144.253,Y,Y,N
1.2.147.237,Y,Y,N
1.2.148.46,Y,N,N
1.2.148.143,Y,Y,N
1.2.156.47,Y,Y,N
1.2.158.233,Y,Y,N
1.2.161.186,N,N,N
1.2.170.243,Y,N,N
1.2.171.188,N,N,N
1.2.172.233,Y,N,N
1.2.177.40,Y,N,N
1.2.183.162,Y,Y,N
1.2.190.15,Y,N,N
1.2.191.184,Y,Y,N
1.2.192.97,N,N,N
1.2.192.148,Y,Y,N
1.2.197.248,Y,N,N
1.2.201.59,Y,Y,N
1.2.201.228,Y,N,N
1.2.208.83,N,N,N
1.2.212.76,Y,N,N
1.2.216.12,Y,Y,N
1.2.217.215,N,N,N
1.2.218.13,Y,N,N
1.2.225.31,N,N,N
1.2.230.71,Y,Y,N
1.2.232.96,Y,Y,N
1.2.234.92,Y,Y,N
1.2.241.68,N,N,N
1.2.241.166,Y,Y,N
1.2.242.11,Y,Y,N
1.2.242.22,Y,Y,N
1.2.242.186,Y,Y,N
1.2.247.76,N,N,N
1.2.254.64,Y,Y,N
2.1.2.132,Y,Y,N
2.1.3.91,N,N,N
2.1.13.230,Y,N,N
2.1.18.169,Y,N,N
2.1.22.36,Y,Y,N
2.1.38.167,Y,Y,N
2.1.39.62,Y,Y,N
2.1.44.47,Y,Y,N
2.1.46.12,Y,Y,N
2.1.51.161,Y,Y,N
2.1.55.178,Y,Y,N
2.1.57.53,Y,Y,N
2.1.61.242,Y,Y,N
2.1.66.152,Y,Y,N
2.1.66.199,Y,Y,N
2.1.68.100,Y,Y,N
2.1.68.244,Y,Y,N
2.1.70.248,N,N,N
2.1.76.180,Y,Y,N
2.1.80.185,Y,Y,N
2.1.83.86,Y,Y,N
2.1.100.203,Y,N,N
2.1.102.193,N,N,N
2.1.106.245,Y,N,N
2.1.110.243,N,N,N
2.1.114.76,Y,Y,N
2.1.120.246,Y,Y,N
2.1.139.169,Y,Y,N
2.1.140.125,Y,N,N
2.1.141.41,Y,Y,N
2.1.144.114,Y,Y,N
2.1.146.51,Y,Y,N
2.1.154.52,N,N,N
2.1.156.127,Y,Y,N
2.1.162.216,Y,Y,N
2.1.166.124,Y,Y,N
2.1.167.181,Y,Y,N
2.1.177.132,Y,Y,N
2.1.178.195,Y,Y,N
2.1.179.14,N,N,N
2.1.179.76,Y,N,N
2.1.181.99,Y,Y,N
2.1.181.155,Y,Y,N
2.1.182.4,N,N,N
2.1.185.119,Y,N,N
2.1.187.54,Y,Y,N
2.1.191.165,Y,Y,N
2.1.193.56,Y,Y,N
2.1.202.136,Y,N,N
2.1.203.9,Y,Y,N
2.1.203.174,Y,Y,N
2.1.208.110,Y,N,N
2.1.213.232,Y,Y,N
2.1.227.13,N,N,N
2.1.229.73,Y,Y,N
2.1.231.221,N,N,N
2.1.234.39,N,N,N
2.1.239.16,Y,Y,N
2.1.239.87,Y,N,N
2.1.239.242,Y,Y,N
2.1.241.7,Y,Y,N
2.1.244.175,Y,Y,N
2.1.245.35,Y,N,N
2.1.251.63,Y,N,N
2.2.6.59,Y,Y,N
2.2.6.228,Y,N,N
2.2.7.115,Y,N,N
2.2.12.210,N,N,N
2.2.14.196,N,N,N
2.2.30.101,Y,Y,N
2.2.32.34,Y,Y,N
2.2.36.172,Y,N,N
2.2.37.243,Y,Y,N
2.2.43.66,Y,Y,N
2.2.46.114,N,N,N
2.2.47.62,Y,N,N
2.2.48.9,Y,Y,N
2.2.55.88,Y,Y,N
2.2.57.81,Y,N,N
2.2.65.115,Y,Y,N
2.2.67.5,N,N,N
2.2.69.158,N,N,N
2.2.72.34,Y,Y,N
2.2.73.82,Y,Y,N
2.2.75.175,Y,Y,N
2.2.84.81,Y,N,N
2.2.86.216,Y,Y,N
2.2.87.169,Y,Y,N
2.2.89.180,Y,N,N
2.2.92.95,N,N,N
2.2.99.120,Y,Y,N
2.2.99.238,Y,Y,N
2.2.99.239,Y,N,N
2.2.104.202,Y,N,N
2.2.105.226,Y,Y,N
2.2.105.241,Y,N,N
2.2.112.200,N,N,N
2.2.112.228,Y,N,N
2.2.125.98,Y,Y,N
2.2.127.92,Y,N,N
2.2.134.69,Y,Y,N
2.2.140.56,Y,Y,N
2.2.153.17,N,N,N
2.2.160.165,N,N,N
2.2.164.210,N,N,N
2.2.165.94,Y,Y,N
2.2.168.181,Y,Y,N
2.2.170.2,Y,Y,N
2.2.171.240,Y,N,N
2.2.172.174,Y,Y,N
2.2.174.199,Y,Y,N
2.2.176.30,N,N,N
2.2.180.93,Y,Y,N
2.2.181.66,Y,N,N
2.2.197.156,Y,Y,N
2.2.202.107,Y,Y,N
2.2.211.99,Y,Y,N
2.2.212.201,Y,Y,N
2.2.213.68,Y,Y,N
2.2.213.77,N,N,N
2.2.213.122,Y,N,N
2.2.218.46,Y,N,N
2.2.220.215,Y,N,N
2.2.222.89,N,N,N
2.2.225.56,Y,Y,N
2.2.227.119,Y,N,N
2.2.233.113,Y,N,N
2.2.244.12,Y,Y,N
2.2.244.66,Y,N,N
2.2.244.111,Y,Y,N
2.2.247.172,Y,Y,N
2.2.248.11,Y,Y,N
2.2.250.147,Y,N,N
3.1.2.127,Y,N,N
3.1.3.52,Y,Y,N
3.1.4.159,Y,N,N
3.1.10.183,Y,Y,N
3.1.11.177,Y,N,N
3.1.12.125,Y,N,N
3.1.15.43,N,N,N
3.1.27.9,N,N,N
3.1.32.22,Y,Y,N
3.1.39.159,Y,Y,N
3.1.40.157,Y,N,N
3.1.49.92,N,N,N
3.1.53.212,N,N,N
3.1.58.216,Y,Y,N
3.1.64.7,Y,N,N
3.1.74.180,Y,N,N
3.1.78.141,Y,N,N
3.1.80.85,Y,Y,N
3.1.84.55,Y,N,N
3.1.85.16,N,N,N
3.1.86.153,Y,Y,N
3.1.88.107,Y,Y,N
3.1.90.82,N,N,N
3.1.96.31,Y,Y,N
3.1.97.244,N,N,N
3.1.99.73,Y,Y,N
3.1.100.179,N,N,N
3.1.100.202,Y,Y,N
3.1.106.101,N,N,N
3.1.107.167,Y,Y,N
3.1.108.198,Y,N,N
3.1.110.26,Y,Y,N
3.1.115.137,Y,N,N
3.1.123.151,N,N,N
3.1.129.10,Y,Y,N
3.1.131.35,Y,Y,N
3.1.137.51,N,N,N
3.1.139.93,N,N,N
3.1.139.243,N,N,N
3.1.158.141,Y,N,N
3.1.161.230,Y,N,N
3.1.167.69,Y,Y,N
3.1.179.71,Y,Y,N
3.1.179.84,Y,Y,N
3.1.180.151,Y,Y,N
3.1.182.83,Y,Y,N
3.1.184.99,N,N,N
3.1.187.61,Y,N,N
3.1.187.238,N,N,N
3.1.194.253,Y,Y,N
3.1.198.181,Y,Y,N
3.1.205.140,N,N,N
3.1.206.73,Y,N,N
3.1.207.29,Y,N,N
3.1.214.57,N,N,N
3.1.228.42,Y,Y,N
3.1.230.114,Y,N,N
3.1.230.132,Y,Y,N
3.1.247.226,Y,Y,N
3.1.250.8,Y,N,N
3.1.254.205,N,N,N
3.2.5.58,N,N,N
3.2.6.104,Y,N,N
3.2.9.226,Y,N,N
3.2.13.216,Y,Y,N
3.2.14.35,Y,N,N
3.2.14.223,Y,N,N
3.2.38.139,Y,Y,N
3.2.41.225,Y,Y,N
3.2.51.236,N,N,N
3.2.52.40,Y,Y,N
3.2.57.233,N,N,N
3.2.59.219,Y,Y,N
3.2.68.18,N,N,N
3.2.71.184,Y,Y,N
3.2.83.18,Y,Y,N
3.2.84.170,N,N,N
3.2.88.220,Y,Y,N
3.2.92.204,Y,Y,N
3.2.93.189,Y,Y,N
3.2.102.88,Y,Y,N
3.2.104.82,Y,Y,N
3.2.106.78,N,N,N
3.2.107.148,Y,N,N
3.2.112.173,Y,Y,N
3.2.118.186,Y,Y,N
3.2.121.204,Y,Y,N
3.2.141.253,Y,Y,N
3.2.157.159,Y,Y,N
3.2.159.81,Y,Y,N
3.2.159.93,Y,Y,N
3.2.162.149,Y,N,N
3.2.170.72,N,N,N
3.2.170.106,Y,Y,N
3.2.171.204,Y,Y,N
3.2.172.150,Y,Y,N
3.2.174.153,Y,Y,N
3.2.176.238,Y,Y,N
3.2.177.253,N,N,N
3.2.181.150,Y,Y,N
3.2.187.99,Y,N,N
3.2.189.15,N,N,N
3.2.192.157,Y,Y,N
3.2.200.224,N,N,N
3.2.201.31,Y,Y,N
3.2.207.203,Y,Y,N
3.2.208.46,Y,Y,N
3.2.213.245,Y,Y,N
3.2.214.103,N,N,N
3.2.216.186,Y,N,N
3.2.218.7,N,N,N
3.2.221.231,Y,Y,N
3.2.224.105,Y,Y,N
3.2.233.28,Y,Y,N
3.2.241.87,N,N,N
3.2.254.161,Y,Y,N
4.1.11.33,Y,Y,N
4.1.13.47,Y,Y,N
4.1.18.127,Y,N,N
4.1.22.210,Y,Y,N
4.1.26.204,Y,Y,N
4.1.27.23,N,N,N
4.1.28.198,N,N,N
4.1.33.177,N,N,N
4.1.34.171,Y,Y,N
4.1.41.5,N,N,N
4.1.48.181,Y,N,N
4.1.49.209,Y,Y,N
4.1.52.174,Y,Y,N
4.1.52.215,N,N,N
4.1.52.231,Y,N,N
4.1.52.238,N,N,N
4.1.54.166,Y,Y,N
4.1.56.18,N,N,N
4.1.58.114,Y,N,N
4.1.59.89,Y,Y,N
4.1.66.83,Y,N,N
4.1.66.202,Y,Y,N
4.1.69.56,Y,Y,N
4.1.69.178,Y,N,N
4.1.70.231,Y,Y,N
4.1.72.90,Y,Y,N
4.1.77.229,Y,Y,N
4.1.78.114,Y,N,N
4.1.81.181,Y,Y,N
4.1.82.5,Y,Y,N
4.1.82.191,Y,Y,N
4.1.83.163,Y,Y,N
4.1.86.119,Y,Y,N
4.1.96.161,N,N,N
4.1.98.198,Y,Y,N
4.1.101.153,Y,Y,N
4.1.102.32,Y,N,N
4.1.116.125,Y,Y,N
4.1.118.158,Y,N,N
4.1.120.118,Y,Y,N
4.1.128.243,Y,N,N
4.1.131.138,N,N,N
4.1.131.150,Y,Y,N
4.1.137.17,Y,Y,N
4.1.139.118,Y,Y,N
4.1.139.239,Y,Y,N
4.1.140.33,Y,Y,N
4.1.144.64,Y,N,N
4.1.152.29,Y,Y,N
4.1.156.160,N,N,N
4.1.163.163,Y,N,N
4.1.165.86,Y,N,N
4.1.170.209,N,N,N
4.1.172.170,Y,Y,N
4.1.173.235,Y,N,N
4.1.176.55,N,N,N
4.1.182.77,N,N,N
4.1.182.250,Y,N,N
4.1.183.116,N,N,N
4.1.183.233,N,N,N
4.1.183.252,Y,N,N
4.1.193.232,Y,Y,N
4.1.194.216,Y,Y,N
4.1.195.153,Y,Y,N
4.1.198.1,N,N,N
4.1.201.253,Y,Y,N
4.1.204.103,N,N,N
4.1.210.241,Y,Y,N
4.1.211.70,N,N,N
4.1.212.78,N,N,N
4.1.214.68,Y,Y,N
4.1.217.109,Y,Y,N
4.1.220.43,Y,Y,N
4.1.221.42,Y,N,N
4.1.224.240,Y,Y,N
4.1.226.209,Y,Y,N
4.1.230.155,Y,Y,N
4.1.232.216,Y,Y,N
4.1.237.126,Y,Y,N
4.1.239.198,Y,Y,N
4.1.241.144,Y,Y,N
4.1.242.16,Y,Y,N
4.1.243.254,N,N,N
4.2.2.234,Y,Y,N
4.2.4.150,Y,Y,N
4.2.15.97,N,N,N
4.2.18.48,Y,Y,N
4.2.40.9,N,N,N
4.2.51.36,Y,Y,N
4.2.52.17,Y,N,N
4.2.57.154,Y,Y,N
4.2.59.53,Y,Y,N
4.2.62.6,Y,Y,N
4.2.64.129,Y,Y,N
4.2.65.246,Y,N,N
4.2.66.26,Y,Y,N
4.2.71.134,Y,Y,N
4.2.71.175,Y,Y,N
4.2.76.103,Y,Y,N
4.2.87.92,Y,Y,N
4.2.91.217,N,N,N
4.2.105.106,Y,Y,N
4.2.105.197,Y,Y,N
4.2.113.72,N,N,N
4.2.115.161,Y,Y,N
4.2.117.186,Y,Y,N
4.2.118.80,Y,Y,N
4.2.118.110,Y,Y,N
4.2.124.131,Y,N,N
4.2.127.56,Y,Y,N
4.2.128.132,N,N,N
4.2.141.218,Y,Y,N
4.2.144.50,Y,Y,N
4.2.147.213,Y,Y,N
4.2.151.101,Y,N,N
4.2.152.233,Y,N,N
4.2.159.158,Y,N,N
4.2.161.253,Y,Y,N
4.2.163.212,N,N,N
4.2.165.172,Y,N,N
4.2.172.172,Y,Y,N
4.2.173.21,Y,Y,N
4.2.174.212,Y,Y,N
4.2.177.39,Y,N,N
4.2.181.44,Y,N,N
4.2.183.241,Y,Y,N
4.2.184.13,N,N,N
4.2.187.209,Y,Y,N
4.2.197.175,Y,N,N
4.2.199.187,Y,Y,N
4.2.203.202,Y,Y,N
4.2.205.9,Y,Y,N
4.2.206.31,Y,Y,N
4.2.215.231,N,N,N
4.2.216.232,N,N,N
4.2.217.218,Y,N,N
4.2.218.133,Y,Y,N
4.2.219.6,Y,N,N
4.2.222.40,Y,Y,N
4.2.226.44,Y,Y,N
4.2.226.228,Y,Y,N
4.2.228.78,Y,N,N
4.2.251.167,Y,N,N
4.2.253.86,Y,Y,N
4.2.254.129,N,N,N
4.2.254.230,Y,Y,N
5.1.4.247,Y,N,N
5.1.9.30,Y,Y,N
5.1.10.150,Y,Y,N
5.1.11.115,Y,N,N
5.1.17.162,N,N,N
5.1.27.144,Y,Y,N
5.1.31.223,Y,Y,N
5.1.49.159,Y,Y,N
5.1.54.78,Y,Y,N
5.1.54.230,Y,N,N
5.1.55.63,Y,Y,N
5.1.57.165,N,N,N
5.1.78.30,Y,Y,N
5.1.79.52,Y,Y,N
5.1.92.10,Y,Y,N
5.1.92.178,N,N,N
5.1.94.130,Y,Y,N
5.1.98.111,N,N,N
5.1.100.61,Y,N,N
5.1.100.156,Y,Y,N
5.1.103.80,Y,N,N
5.1.115.202,Y,Y,N
5.1.117.138,Y,N,N
5.1.119.6,Y,Y,N
5.1.121.30,Y,N,N
5.1.132.214,Y,Y,N
5.1.135.47,Y,N,N
5.1.137.178,Y,N,N
5.1.139.106,Y,Y,N
5.1.150.207,Y,Y,N
5.1.151.142,Y,N,N
5.1.160.115,Y,N,N
5.1.164.247,Y,Y,N
5.1.173.25,Y,Y,N
5.1.176.52,N,N,N
5.1.177.186,Y,N,N
5.1.180.92,N,N,N
5.1.193.45,Y,N,N
5.1.194.87,Y,Y,N
5.1.201.92,Y,N,N
5.1.201.200,Y,N,N
5.1.218.108,Y,Y,N
5.1.221.22,N,N,N
5.1.223.242,Y,Y,N
5.1.224.166,Y,Y,N
5.1.230.187,Y,N,N
5.1.230.209,Y,N,N
5.1.234.33,Y,Y,N
5.1.240.67,Y,N,N
5.1.240.181,Y,N,N
5.1.243.24,Y,N,N
5.1.247.146,Y,Y,N
5.1.253.236,Y,N,N
5.2.2.245,Y,Y,N
5.2.7.165,Y,Y,N
5.2.10.251,Y,N,N
5.2.12.22,Y,Y,N
5.2.13.246,N,N,N
5.2.16.241,Y,Y,N
5.2.17.53,Y,Y,N
5.2.21.235,Y,Y,N
5.2.24.174,Y,Y,N
5.2.27.73,Y,Y,N
5.2.29.41,Y,Y,N
5.2.34.11,Y,Y,N
5.2.36.25,Y,Y,N
5.2.37.6,Y,Y,N
5.2.39.77,N,N,N
5.2.40.230,Y,Y,N
5.2.44.186,Y,Y,N
5.2.45.133,Y,Y,N
5.2.46.147,Y,N,N
5.2.64.97,Y,Y,N
5.2.69.10,Y,Y,N
5.2.74.220,Y,Y,N
5.2.75.203,Y,Y,N
5.2.81.151,N,N,N
5.2.96.124,Y,Y,N
5.2.96.253,N,N,N
5.2.98.50,Y,Y,N
5.2.101.229,N,N,N
5.2.110.77,Y,N,N
5.2.111.248,Y,Y,N
5.2.114.159,Y,Y,N
5.2.116.230,N,N,N
5.2.118.94,Y,Y,N
5.2.119.60,Y,Y,N
5.2.121.176,N,N,N
5.2.122.94,Y,N,N
5.2.126.130,Y,N,N
5.2.130.178,Y,N,N
5.2.138.205,N,N,N
5.2.139.67,Y,Y,N
5.2.139.113,N,N,N
5.2.145.163,Y,N,N
5.2.149.47,Y,Y,N
5.2.152.208,N,N,N
5.2.154.37,Y,Y,N
5.2.158.184,Y,Y,N
5.2.160.146,N,N,N
5.2.163.187,Y,N,N
5.2.169.27,N,N,N
5.2.169.177,Y,Y,N
5.2.173.232,N,N,N
5.2.175.59,Y,Y,N
5.2.175.166,Y,Y,N
5.2.176.210,Y,Y,N
5.2.181.171,Y,Y,N
5.2.182.133,N,N,N
5.2.186.234,N,N,N
5.2.191.245,Y,N,N
5.2.194.39,Y,N,N
5.2.195.233,Y,N,N
5.2.197.131,N,N,N
5.2.201.185,N,N,N
5.2.206.231,Y,N,N
5.2.218.149,Y,Y,N
5.2.220.209,Y,Y,N
5.2.230.200,N,N,N
5.2.236.117,N,N,N
5.2.241.44,Y,Y,N
5.2.243.37,Y,Y,N
5.2.243.54,Y,Y,N
5.2.249.151,Y,Y,N
5.2.251.18,Y,Y,N
5.2.252.25,Y,Y,N
5.2.252.28,Y,Y,N
6.1.6.121,Y,N,N
6.1.8.136,Y,N,N
6.1.12.252,N,N,N
6.1.17.180,Y,Y,N
6.1.23.58,Y,Y,N
6.1.29.7,Y,Y,N
6.1.31.179,N,N,N
6.1.34.153,Y,N,N
6.1.46.235,Y,N,N
6.1.48.243,Y,N,N
6.1.49.57,Y,Y,N
6.1.58.167,Y,N,N
6.1.61.236,N,N,N
6.1.66.53,Y,Y,N
6.1.67.158,N,N,N
6.1.69.182,Y,N,N
6.1.79.139,Y,Y,N
6.1.79.237,N,N,N
6.1.89.238,Y,Y,N
6.1.92.75,Y,Y,N
6.1.93.133,Y,Y,N
6.1.94.85,Y,N,N
6.1.101.55,Y,Y,N
6.1.106.3,Y,Y,N
6.1.109.248,Y,Y,N
6.1.113.128,Y,Y,N
6.1.113.241,N,N,N
6.1.114.50,Y,N,N
6.1.129.112,Y,Y,N
6.1.132.78,Y,Y,N
6.1.134.251,Y,Y,N
6.1.138.231,Y,Y,N
6.1.139.123,Y,Y,N
6.1.141.186,Y,Y,N
6.1.142.206,Y,N,N
6.1.142.252,Y,Y,N
6.1.143.53,Y,Y,N
6.1.143.115,Y,N,N
6.1.147.58,Y,Y,N
6.1.150.76,N,N,N
6.1.159.51,Y,Y,N
6.1.169.198,Y,Y,N
6.1.176.104,Y,Y,N
6.1.178.227,Y,Y,N
6.1.180.230,Y,Y,N
6.1.184.82,Y,N,N
6.1.187.134,Y,Y,N
6.1.196.42,Y,Y,N
6.1.203.5,N,N,N
6.1.204.71,Y,Y,N
6.1.214.232,Y,Y,N
6.1.214.250,N,N,N
6.1.215.240,Y,N,N
6.1.223.208,Y,Y,N
6.1.231.168,Y,Y,N
6.1.235.159,N,N,N
6.1.237.227,Y,Y,N
6.1.239.11,N,N,N
6.1.239.207,Y,N,N
6.1.243.104,Y,Y,N
6.1.250.253,Y,N,N
6.2.5.183,N,N,N
6.2.13.173,Y,N,N
6.2.18.64,Y,Y,N
6.2.18.103,Y,Y,N
6.2.23.127,Y,Y,N
6.2.25.201,N,N,N
6.2.27.106,Y,Y,N
6.2.37.135,Y,N,N
6.2.47.37,N,N,N
6.2.47.44,N,N,N
6.2.63.3,Y,N,N
6.2.63.73,Y,N,N
6.2.64.242,Y,Y,N
6.2.67.26,N,N,N
6.2.72.226,N,N,N
6.2.73.138,Y,Y,N
6.2.79.31,Y,Y,N
6.2.80.60,Y,Y,N
6.2.81.158,Y,N,N
6.2.93.22,Y,N,N
6.2.93.90,Y,Y,N
6.2.99.164,Y,Y,N
6.2.100.65,Y,Y,N
6.2.102.79,Y,Y,N
6.2.102.159,Y,N,N
6.2.110.142,Y,N,N
6.2.113.129,Y,N,N
6.2.122.77,Y,Y,N
6.2.127.171,Y,Y,N
6.2.127.250,Y,Y,N
6.2.130.100,Y,Y,N
6.2.138.85,Y,Y,N
6.2.146.231,Y,Y,N
6.2.148.191,Y,N,N
6.2.154.103,N,N,N
6.2.155.62,Y,Y,N
6.2.161.39,Y,N,N
6.2.161.204,N,N,N
6.2.176.189,Y,N,N
6.2.179.88,Y,Y,N
6.2.182.51,Y,Y,N
6.2.183.40,N,N,N
6.2.185.145,Y,Y,N
6.2.193.221,Y,N,N
6.2.212.182,Y,N,N
6.2.220.223,Y,Y,N
6.2.222.93,Y,N,N
6.2.225.172,Y,N,N
6.2.229.133,Y,Y,N
6.2.229.178,N,N,N
6.2.231.238,Y,Y,N
6.2.233.172,Y,Y,N
6.2.244.75,Y,N,N
6.2.251.41,Y,Y,N
7.1.9.204,Y,Y,N
7.1.14.36,Y,N,N
7.1.18.86,Y,Y,N
7.1.21.176,Y,N,N
7.1.30.7,Y,N,N
7.1.30.46,N,N,N
7.1.33.139,N,N,N
7.1.39.121,N,N,N
7.1.48.169,Y,Y,N
7.1.50.94,Y,Y,N
7.1.53.97,Y,N,N
7.1.55.2,Y,Y,N
7.1.55.104,Y,N,N
7.1.56.125,N,N,N
7.1.59.80,Y,Y,N
7.1.67.162,Y,Y,N
7.1.69.226,Y,Y,N
7.1.72.107,Y,Y,N
7.1.73.10,Y,Y,N
7.1.77.165,Y,N,N
7.1.81.148,Y,N,N
7.1.84.41,Y,N,N
7.1.88.20,Y,Y,N
7.1.89.254,Y,Y,N
7.1.100.30,N,N,N
7.1.104.64,Y,N,N
7.1.106.175,Y,Y,N
7.1.111.121,N,N,N
7.1.115.157,N,N,N
7.1.118.170,N,N,N
7.1.122.160,Y,Y,N
7.1.125.164,Y,Y,N
7.1.127.13,Y,Y,N
7.1.132.124,N,N,N
7.1.135.70,N,N,N
7.1.135.216,Y,Y,N
7.1.139.241,Y,Y,N
7.1.146.1,Y,Y,N
7.1.150.114,Y,Y,N
7.1.160.228,Y,Y,N
7.1.169.216,Y,Y,N
7.1.173.53,N,N,N
7.1.174.117,Y,Y,N
7.1.184.73,Y,Y,N
7.1.185.80,N,N,N
7.1.189.81,Y,N,N
7.1.197.222,Y,Y,N
7.1.199.78,N,N,N
7.1.202.146,Y,N,N
7.1.203.229,Y,N,N
7.1.207.26,Y,N,N
7.1.208.41,Y,N,N
7.1.212.254,Y,Y,N
7.1.217.37,Y,Y,N
7.1.218.195,Y,N,N
7.1.218.243,Y,Y,N
7.1.228.198,N,N,N
7.1.230.133,N,N,N
7.1.236.6,Y,Y,N
7.1.241.64,Y,Y,N
7.1.241.219,Y,N,N
7.1.242.13,Y,N,N
7.1.242.24,Y,N,N
7.1.244.73,N,N,N
7.1.251.153,Y,N,N
7.1.252.46,Y,Y,N
7.1.252.212,Y,N,N
7.2.8.127,Y,Y,N
7.2.9.7,Y,N,N
7.2.11.233,Y,Y,N
7.2.12.209,Y,N,N
7.2.18.73,Y,Y,N
7.2.19.27,Y,Y,N
7.2.23.183,N,N,N
7.2.30.44,Y,Y,N
7.2.36.97,Y,N,N
7.2.37.101,Y,Y,N
7.2.38.45,Y,Y,N
7.2.38.139,Y,Y,N
7.2.56.3,N,N,N
7.2.56.201,Y,Y,N
7.2.57.58,Y,Y,N
7.2.61.74,Y,Y,N
7.2.69.76,Y,Y,N
7.2.74.100,Y,Y,N
7.2.76.122,N,N,N
7.2.82.88,Y,Y,N
7.2.83.93,Y,Y,N
7.2.83.156,Y,Y,N
7.2.86.94,Y,N,N
7.2.87.51,Y,N,N
7.2.89.122,Y,Y,N
7.2.99.154,Y,N,N
7.2.101.11,N,N,N
7.2.101.131,Y,Y,N
7.2.103.185,Y,Y,N
7.2.106.18,Y,Y,N
7.2.108.8,N,N,N
7.2.113.96,N,N,N
7.2.123.7,Y,Y,N
7.2.129.46,Y,Y,N
7.2.130.165,Y,Y,N
7.2.135.43,Y,Y,N
7.2.150.144,Y,Y,N
7.2.156.149,Y,Y,N
7.2.157.147,N,N,N
7.2.159.247,Y,N,N
7.2.160.199,Y,Y,N
7.2.160.224,Y,N,N
7.2.171.80,Y,N,N
7.2.172.226,Y,Y,N
7.2.177.226,Y,Y,N
7.2.186.79,Y,N,N
7.2.193.153,Y,N,N
7.2.195.196,Y,N,N
7.2.196.146,Y,N,N
7.2.197.190,Y,Y,N
7.2.206.58,Y,Y,N
7.2.207.135,Y,Y,N
7.2.217.200,Y,Y,N
7.2.219.33,Y,N,N
